PREFERRED_ABBRV|PREFERRED_FULL|PREFERRED_NLMID|PREFERRED_ISSN_PRINT|PREFERRED_ISSN_ONLINE|START_YEAR|END_YEAR|FULL_TRAIL_LENGTH|FULL_TRAIL
Arch Fr Mal App Dig|Archives francaises des maladies de l'appareil digestif|0044500|0003-9772||1966|1976|0|
S D Nurse|The South Dakota nurse|0044560|0038-335X||1957|uuuu|0|
Miss RN|Mississippi RN|0044610|0026-6388||194u|uuuu|0|
Albrecht Von Graefes Arch Klin Exp Ophthalmol|Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie. Albrecht von Graefe's archive for clinical and experimental ophthalmology|0044637|0065-6100||1965|1997|1|Ger J Ophthalmol (9206441) -Absorbed By-> Albrecht Von Graefes Arch Klin Exp Ophthalmol (0044637) -Continued by-> Albrecht Von Graefes Arch Klin Exp Ophthalmol (0044637)
Jpn J Ophthalmol|Japanese journal of ophthalmology|0044652|0021-5155|1613-2246|1957|uuuu|0|
Recent Results Cancer Res|Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer|0044671|0080-0015||1965|uuuu|0|
Rev Colomb Psiquiatr|Revista colombiana de psiquiatria|0045130|0034-7450||1964|uuuu|0|
Rural Sociol|Rural sociology|0045170|0036-0112||1936|uuuu|0|
JNMA J Nepal Med Assoc|JNMA; journal of the Nepal Medical Association|0045233|0028-2715|1815-672X|1963|uuuu|0|
Can J Ophthalmol|Canadian journal of ophthalmology. Journal canadien d'ophtalmologie|0045312|0008-4182||1966|uuuu|0|
J Exp Soc Psychol|Journal of experimental social psychology|0045332|0022-1031||1965|uuuu|0|
Adv Surg|Advances in surgery|0045335|0065-3411||1965|uuuu|0|
Invest Radiol|Investigative radiology|0045377|0020-9996|1536-0210|1966|uuuu|0|
Physiol Pharmacol Physicians|Physiology & pharmacology for physicians|0045406|0554-1417||1966|1966|0|
Univ Newcastle Tyne Med Gaz|University of Newcastle upon Tyne medical gazette|0045472|||1943|1975|1|Univ Durh Med Gaz (21430120R) -Continued by-> Univ Newcastle Tyne Med Gaz (0045472)
Brain Res|Brain research|0045503|0006-8993|1872-6240|1988|2005|1|Brain Res Cogn Brain Res (9214304) -Absorbed By-> Brain Res (0045503) -Continued In Part By-> Brain Res Cogn Brain Res (9214304)
J Sci Ind Res (India)|Journal of scientific and industrial research|0045506|0022-4456|0975-1084|1963|uuuu|0|
J Oral Med|Journal of oral medicine|0045507|0022-3247||1946|1987|1|J Dent Med (17910020R) -Continued by-> J Oral Med (0045507)
Protet Stomatol|Protetyka stomatologiczna|0045533|0033-1783||1965|uuuu|0|
Public Adm Rev|Public administration review|0045715|0033-3352||1940|uuuu|0|
Tijdschr Geneeskd|Tijdschrift voor geneeskunde|0045747|0371-683X||1966|uuuu|0|
Bull Environ Contam Toxicol|Bulletin of environmental contamination and toxicology|0046021|0007-4861|1432-0800|1966|uuuu|0|
SA Nurs J|SA nursing journal. SA verplegingstydskrif|0046024|||1935|1978|1|S Afr Nursing J (0046027) -Continued by-> SA Nurs J (0046024)
Multivariate Behav Res|Multivariate behavioral research|0046052|0027-3171|1532-7906|1966|uuuu|0|
Geriatr Nurs (Minneap)|Geriatric nursing|0046433|0435-5733||1965|1968|0|
Bull Soc Sci Hyg Aliment Aliment Ration Homme|Bulletin. Societe scientifique d'hygiene alimentaire et d'alimentation rationnelle|0046535|||1911|1948|0|
Phycologia|Phycologia|0046550|0031-8884||1961|uuuu|0|
Exp Gerontol|Experimental gerontology|0047061|0531-5565|1873-6815|1964|uuuu|0|
Circ Res|Circulation research|0047103|0009-7330|1524-4571|1953|uuuu|0|
Christ Nurse (Mysore)|Christian nurse|0047107|0009-5540||1965|19uu|0|
Ga Nurse|Georgia nursing|0047220|0016-8335||1945|uuuu|0|
Genetika|Genetika|0047354|0016-6758||1966|uuuu|0|
Fysiatr Revmatol Vestn|Fysiatricky a reumatologicky vestnik|0047421|0072-0038||1966|1994|0|
NADC-MR Rep|NADC-MR [reports]. United States. Naval Air Development Center, Johnsville, Pa. Aerospace Medical Research Department|0047422|||1965|1971|0|
Prog Clin Pathol|Progress in clinical pathology|0047556|0079-6174||1966|1984|0|
AMD TR Rep|AMD-TR [reports]. United States. Aerospace Medical Division|0047634|||1965|1968|0|
Bibl Humanisme Renaiss|Bibliotheque d'humanisme et renaissance; travaux et documents|0047723|0006-1999||1941|uuuu|0|
Chem Heterocycl Compd (N Y)|Chemistry of heterocyclic compounds|0050006|0009-3122|1573-8353|1965|uuuu|0|
Calif Fish Game|California fish and game|0050060|0008-1078||1914|uuuu|0|
J Stomatol Belg|Journal de stomatologie de Belgique|0050076|||1947|1965|1|Arch Stomatol (15140170R) -Continued by-> J Stomatol Belg (0050076)
J Ecol|The Journal of ecology|0050202|0022-0477|1365-2745|1913|uuuu|0|
J Cell Physiol|Journal of cellular physiology|0050222|0021-9541|1097-4652|1932|1965|1|J Cell Comp Physiol (0165540) -Continued by-> J Cell Physiol (0050222)
Anu Indig|Anuario indigenista|0050235|0304-2596||1962|1989|0|
J Sch Psychol|Journal of school psychology|0050303|0022-4405|1873-3506|1963|uuuu|0|
Hospitals (Lond)|Hospitals|0050430|||1940|1985|1|Multis (8405401) -Absorbed By-> Hospitals (Lond) (0050430)
Harlem Hosp Bull (N Y)|The Harlem Hospital bulletin|0050435|0438-6124||1960|1961|0|
Ultrasonics|Ultrasonics|0050452|0041-624X|1874-9968|1963|uuuu|0|
Hig Zdraveopaz|Khigiena i zdraveopazvane|0050620|0018-8247||1966|2001|0|
J Polym Sci A1|Journal of polymer science. Part A-1, Polymer chemistry|0050636|0449-296X||1966|1972|0|
Aging|Aging|0050677|0002-0966||1951|1996|0|
Cesk Patol|Ceskoslovenska patologie|0050734|1210-7875||1965|uuuu|0|
Seikatsu Eisei|Seikatsu eisei|0050766|0582-4176||1955|2011|0|
G Ital Mal Torace|Giornale italiano delle malattie del torace|0050772|0017-0437||1946|1994|2|G Ital Della Tuberc (17140020R) -Continued by-> G Ital Tuberc Mal Torace (0051104) -Continued by-> G Ital Mal Torace (0050772)
Tex Med|Texas medicine|0051012|0040-4470|1938-3223|1905|1966|1|Tex State J Med (0243623) -Continued by-> Tex Med (0051012)
Med Res Eng|Medical research engineering|0051420|0025-7508||1961|1980|1|Am J Med Electron (0061651) -Continued by-> Med Res Eng (0051420)
Arch Med Gen Trop|Archives de medecine generale et tropicale|0051452|0365-4656||1950|1965|0|
Xin Li Xue Bao|Xin li xue bao. Acta psychologica Sinica|0051531|0439-755X||1956|uuuu|0|
Medizinhist J|Medizinhistorisches Journal|0051574|0025-8431||1966|uuuu|0|
Bull. Mar. Sci.|Bulletin of marine science|0051601|0007-4977||1951|uuuu|0|
Smith Coll Stud Soc Work|Smith College studies in social work|0051757|0037-7317||1930|uuuu|0|
J Cell Sci|Journal of cell science|0052457|0021-9533|1477-9137|1966|uuuu|0|
J Pediatr Surg|Journal of pediatric surgery|0052631|0022-3468|1531-5037|1966|uuuu|0|
Health Serv Res|Health services research|0053006|0017-9124|1475-6773|1966|uuuu|0|
Z Immunitats Allergieforsch|Zeitschrift fur Immunitats- und Allergieforschung|0053225|||1963|1965|0|
Semin Roentgenol|Seminars in roentgenology|0053252|0037-198X|1558-4658|1966|uuuu|0|
J Organomet Chem|Journal of organometallic chemistry|0053303|0022-328X||1963|uuuu|0|
Stud Psychol (Bratisl)|Studia psychologica|0053353|0039-3320||1965|uuuu|0|
Ric Sci 2 Ser Pt 1 Riv|La Ricerca scientifica. 2. ser., pt.1: Rivista|0054202|0556-9672||1961|1965|0|
Ric Sci|La Ricerca scientifica|0054204|0035-5011||1931|1976|0|
Ric Sci 2 Ser Pt 2 Rend B|La Ricerca scientifica. 2. ser., pt. 2: Rendiconti. Sezione B: Biologica|0054211|0556-9699||1961|1965|0|
Naunyn Schmiedebergs Arch Exp Pathol Pharmakol|Naunyn-Schmiedebergs Archiv fur experimentelle Pathologie und Pharmakologie|0054224|||1926|1966|0|
Ophthalmologica|Ophthalmologica. Journal international d'ophtalmologie. International journal of ophthalmology. Zeitschrift fur Augenheilkunde|0054655|0030-3755|1423-0267|1938|uuuu|0|
Am Behav Sci|The American behavioral scientist|0055030|0002-7642||1960|uuuu|0|
J Periodontal Res|Journal of periodontal research|0055107|0022-3484|1600-0765|1966|uuuu|0|
Nutr Today|Nutrition today|0055201|0029-666X|1538-9839|1966|uuuu|0|
J Appl Ecol|The Journal of applied ecology|0055203|0021-8901|1365-2664|1964|uuuu|0|
Scand J Respir Dis|Scandinavian journal of respiratory diseases|0055427|0036-5572||1966|1979|0|
Rev Argent Urol Nefrol|Revista argentina de urologia y nefrologia|0055467|0048-7627||1963|1987|0|
Rev Argent Urol|Revista argentina de urologia|0055564|||1932|1962|0|
Va Dent J|Virginia dental journal|0055616|0049-6472||1921|1964|1|Bull Va State Dent Assoc (7507050) -Continued by-> Va Dent J (0055616)
Classical Rev|The Classical review|0055635|0009-840X||1887|uuuu|0|
Int J Orthod|International journal of orthodontics|0055653|0020-7500||1962|1991|0|
Curr Med Atty|Current medicine for attorneys|0055673|0011-3719||1953|1984|0|
Rev Fr Sociol|Revue francaise de sociologie|0056011|0035-2969||1960|uuuu|0|
Int Rescuer|International rescuer|0056013|0020-8515||1957|199u|0|
Riv Ist Vaccinogeno Consorzi Prov Antituberc|Rivista dell'Istituto vaccinogeno e dei consorzi provinciali antitubercolari|0056205|0021-2598||1966|1976|0|
J Food Sci Technol|Journal of food science and technology|0056471|0022-1155|0975-8402|1964|uuuu|0|
Rev Invest Salud Publica|Revista de investigacion en salud publica|0056517|0034-8384||1966|1977|0|
Sociol Neerl|Sociologia Neerlandica|0056714|0920-4490||1962|1975|0|
Rev Tunis Sci Soc|Revue tunisienne de sciences sociales|0057026|0035-4333||1964|uuuu|0|
Kaiin Dayori Nihon Kontakuto Renzu Gakkai|Kaiin dayori. [Membership news]. Nippon Kontakuto Renzu Gakkai|0057120|0374-9851||1960|uuuu|0|
Scand J Respir Dis Suppl|Scandinavian journal of respiratory diseases. Supplementum|0057161|0080-6730||1934|1979|2|Acta Tuberc Scand Suppl (14610300R) -Continued by-> Acta Tuberc Pneumol Scand Suppl (0064754) -Continued by-> Scand J Respir Dis Suppl (0057161)
Clin Exp Immunol|Clinical and experimental immunology|0057202|0009-9104|1365-2249|1966|uuuu|0|
Prakt Tierarzt|Der Praktische Tierarzt|0057204|0032-681X||1951|uuuu|0|
Epheta|Epheta; revista de enfermeria y accion social|0057376|0071-0970||1962|1971|0|
Clio Med|Clio medica (Amsterdam, Netherlands)|0057664|0045-7183||1965|uuuu|0|
Popul Rev|Population review|0057730|0032-471X|1549-0955|1957|uuuu|0|
Osiris|Osiris|0057764|0369-7827||1936|uuuu|0|
Scand J Gastroenterol|Scandinavian journal of gastroenterology|0060105|0036-5521|1502-7708|1966|uuuu|0|
Bol Anal Demogr|Boletin de analisis demografico|0060172|0523-8889||1964|1995|0|
Prakt Arzt|Der Praktische Arzt|0060366|0048-5128||1947|1994|0|
J Appl Behav Sci|The Journal of applied behavioral science|0060433|0021-8863||1965|uuuu|0|
Higiene|Higiene|0060440|0437-4495||1948|1969|0|
Rass Ital Chir Med|Rassegna italiana di chirurgia e medicina|0060441|||1952|1962|0|
Lipids|Lipids|0060450|0024-4201|1558-9307|1966|uuuu|0|
Am J Correct|American journal of correction|0060461|0002-9203||1954|1978|0|
Rev Med Int Photo Cinema Telev|Revue medicale internationale de photo, cinema, television. International journal of medical photography, cinematography & television|0060503|||1962|1965|0|
Med Audio Vis|Medecine et audio vision|0060560|0543-2251||1966|1967|0|
Angeiologie|Angeiologie|0060612|0003-3049||1959|uuuu|0|
Angeiol Ann Soc Fr Angeiol Histopathol|Angeiologie et annales de la Societe francaise d'angeiologie et d'histopathologie|0060642|||1951|1959|0|
Acta Hist Leopoldina|Acta historica Leopoldina|0060677|0001-5857||196u|uuuu|0|
Vet Med Rev|Veterinary medical review|0060752|0506-8274||1966|1991|0|
Z Klin Med|Zeitschrift fur klinische Medizin|0060757|0372-9192||1879|1965|0|
Dtsch Arch Klin Med|Deutsches Archiv fur klinische Medizin|0060760|0366-8576||1865|1965|0|
Nurs News|Nursing news|0061156|0029-6538||1952|uuuu|0|
Xianggang Hu Li Za Zhi|Xianggang hu li za zhi. The Hong Kong nursing journal|0061242|0073-3253||1965|uuuu|0|
Ann Phys (Paris)|Annales de physique|0061352|0003-4169||1914|2009|0|
Q J Microsc Sci|The Quarterly journal of microscopical science|0061353|0370-2952||1853|1965|0|
Acta Histochem Suppl|Acta histochemica. Supplementband|0061372|0567-7556||1958|1992|0|
Sinai Hosp J (Balt)|Sinai Hospital journal|0061432|0583-337X||1952|1969|0|
Utah Sci|Utah science|0061473|0042-1502||1967|uuuu|0|
Arch Mal Appar Dig Mal Nutr|Archives des maladies de l'appareil digestif et des maladies de la nutrition|0061476|0365-4117||1907|1965|0|
Albrecht Von Graefes Arch Ophthalmol|Albrecht von Graefe's Archiv fur Ophthalmologie|0061573|0376-0200||1871|1965|0|
Ophelia|Ophelia|0061670|0078-5326||1964|uuuu|0|
Studi Emigr|Studi emigrazione : international journal of migration studies|0062434|0039-2936||1964|1966|0|
J Sex Res|Journal of sex research|0062647|0022-4499|1559-8519|1965|2007|1|Annu Rev Sex Res (9200315) -Absorbed By-> J Sex Res (0062647)
Pathol Eur|Pathologia Europaea|0062702|0031-2967||1947|1976|1|Rev Belg Pathol Med Exp (20320140R) -Continued by-> Pathol Eur (0062702)
Huntia|Huntia; a yearbook of botanical and horticultural bibliography|0063012|0073-4071||1964|uuuu|0|
J Dent Que|Le Journal dentaire du Quebec|0063015|0021-7999||1963|2006|0|
Ars Med Rev Int Med Prat|Ars medici; revue internationale pour le medecin praticien|0063132|||1946|1964|0|
Sov Genet|Soviet genetics|0063413|0038-5409||1965|1993|0|
Vet Med (Praha)|Veterinarni medicina|0063417|0375-8427||1956|uuuu|0|
Arch Ohren Nasen Kehlkopfheilkd|Archiv fur Ohren-, Nasen- und Kehlkopfheilkunde, vereinigt mit Zeitschrift fur Hals-, Nasen- und Ohrenheilkunde|0063661|0365-5245||1915|1965|0|
Probl Actuels Endocrinol Nutr|Problemes actuels d'endocrinologie et de nutrition|0063734|0079-5666||1957|1977|0|
Bol Asoc Venez Enferm Prof|Boletin. Asociacion Venezolana de Enfermeras Profesionales|0063742|||1966|1966|0|
Adv Exp Soc Psychol|Advances in experimental social psychology|0064143|0065-2601||1964|uuuu|0|
Psychol Stud (Mysore)|Psychological studies|0064145|0033-2968||1956|uuuu|0|
Annee Sociol|L' Annee sociologique|0064224|0066-2399||1896|uuuu|0|
Aliment Vie|L' Alimentation et la vie|0064233|0065-6267||1949|1983|0|
Veterinaria|Veterinaria|0064270|||1964|19uu|0|
Kolner Z Soz Sozpsychol|Kolner Zeitschrift fur Soziologie und Sozialpsychologie|0064302|0023-2653|1861-891X|1948|uuuu|0|
Acta Tuberc Pneumol Scand|Acta tuberculosea et pneumologica Scandinavica|0064362|0365-7531||1925|1965|1|Acta Tuberc Scand (14610290R) -Continued by-> Acta Tuberc Pneumol Scand (0064362)
Beitr Sexualforsch|Beitrage zur Sexualforschung|0064523|0067-5210||1952|uuuu|0|
Ann Appl Biol|The Annals of applied biology|0064717|0003-4746||1914|uuuu|0|
Bibl Hig Instituta NR Srb|Biblioteka Higijenskog instituta NR Srbije|0064720|||1952|1960|0|
Vopr Revm|Voprosy revmatizma|0064753|0042-885X||1961|1982|0|
Adv Surg|Advances in surgery|0064756|||1949|1949|0|
Arch Esp Urol|Archivos espanoles de urologia|0064757|0004-0614|1576-8260|1944|uuuu|0|
Ann Med Chir Hop Sainte Justine Montr|Les Annales medico-chirurgicales de l'Hopital Sainte-Justine de Montreal|0064761|1189-6361||1930|1961|0|
Front Biol|Frontiers of biology|0065035|0071-965X||1966|1979|0|
Americas (Engl ed)|Americas|0065163|0379-0940||1949|uuuu|0|
Am Biol Teach|The American biology teacher|0065217|0002-7685||1938|uuuu|0|
Scriptorium|Scriptorium|0065255|0036-9772||1946|uuuu|0|
Bratisl Lek Listy|Bratislavske lekarske listy|0065324|0006-9248||1921|uuuu|0|
Kwart Hist Nauki Tech|Kwartalnik historii nauki i techniki : Kwartal'nyi zhurnal istorii nauki i tekhniki -|0065346|0023-589X||1956|uuuu|0|
J Home Econ|Journal of home economics|0065403|0022-1570||1909|uuuu|0|
Educ Train Ment Retard|Education and training of the mentally retarded|0065720|0013-1237||1966|1986|0|
Folia Parasitol (Praha)|Folia parasitologica|0065750|0015-5683|1803-6465|1966|uuuu|0|
Dan Med Bull|Danish medical bulletin|0066040|0907-8916|1603-9629|1954|2011|0|
J Cardiovasc Surg (Torino)|The Journal of cardiovascular surgery|0066127|0021-9509||1960|uuuu|0|
Soc Welfare (India)|Social welfare|0066130|0037-8038||1954|uuuu|0|
Fortschr Kiefer Gesichtschir|Fortschritte der Kiefer- und Gesichts-Chirurgie|0066413|0071-7916||1955|1996|0|
S Afr J Sci|South African journal of science|0066654|0038-2353|1996-7489|1903|uuuu|0|
Exp Neurol Suppl|Experimental neurology. Supplement|0066741|0531-559X||1964|19uu|0|
Planta Med|Planta medica|0066751|0032-0943|1439-0221|1953|uuuu|0|
Additamenta Folia Med Neerl|Folia medica Neerlandica. Additamenta|0067036|||1962|1964|0|
Chem Phys Lipids|Chemistry and physics of lipids|0067206|0009-3084|1873-2941|1966|uuuu|0|
UCLA Forum Med Sci|UCLA forum in medical sciences|0067303|0082-7134||1961|1990|0|
Psychol Belg|Psychologica Belgica|0067335|0033-2879|2054-670X|1946|uuuu|0|
Minn Nurs Accent|Minnesota nursing accent|0067406|||1962|1976|0|
Shinkei Kenkyu No Shimpo|Shinkei kenkyu no shimpo. Advances in neurological sciences|0067457|0001-8724||1956|2006|0|
Arch Latinoam Nutr|Archivos latinoamericanos de nutricion|0067507|0004-0622||1966|uuuu|0|
Rep N Y State Vet Coll Cornell Univ|Report of the New York State Veterinary College at Cornell University. New York State Veterinary College|0067643|||1896|1972|0|
An Bras Dermatol|Anais brasileiros de dermatologia|0067662|0365-0596|1806-4841|193u|1960|1|An Bras Derm Sifilogr (0116747) -Continued by-> An Bras Dermatol (0067662)
Mises Point Accouch Pediatre|Mises au point de l'accoucheur et du pediatre|0067713|||1961|1966|0|
Ticitl|Ticitl|0067723|0040-6732||1961|1981|0|
Cesk Dermatol|Ceskoslovenska dermatologie|0067753|0009-0514||1948|uuuu|0|
Clin Obstet Gynecol|Clinical obstetrics and gynecology|0070014|0009-9201|1532-5520|1958|uuuu|0|
J Neuropsychiatr|Journal of neuropsychiatry|0070073|||1959|1964|0|
Acta Cient Venez|Acta cientifica venezolana|0070154|0001-5504||1950|2004|0|
Can Ment Health|Canada's mental health|0070157|0008-2791||1953|1996|0|
Educ Med Salud|Educacion medica y salud|0070163|0013-1091||1966|1995|0|
Minerva Pneumol|Minerva pneumologica|0070205|0026-4954|1827-1723|1962|uuuu|0|
Glas Zavodzdrav|Glasnik. Republicki zavod za zdravstvenu zastitu SR Srbije|0070311|||1962|1972|0|
Stud Bibliogr|Studies in bibliography|0070414|0081-7600||1948|uuuu|0|
Am Stat|The American statistician|0070454|0003-1305||1947|uuuu|0|
Rajasthan Med J|Rajasthan medical journal|0070456|0485-9561||1961|uuuu|0|
Stud Renaissance|Studies in the Renaissance|0070626|0081-8658||1954|1974|0|
MLN Bull|MLN bulletin|0070743|0047-7508||1886|1974|1|Mod Lang Notes (100969094) -Continued by-> MLN Bull (0070743)
Tenn Publ Welfare Rec|Tennessee public welfare record|0070744|0040-3377||1938|1975|0|
Nourrisson|Le Nourrisson|0070765|||1913|1960|0|
J Bras Doencas Torac|Jornal brasileiro de doencas toracicas|0071033|0047-2069||1965|1968|0|
Contemp Neurol Ser|Contemporary neurology series|0071075|0069-9446||1966|uuuu|0|
Ann Sanita Pubblica|Annali della sanita pubblica|0071152|0021-3071||1948|uuuu|0|
Beitr Klin Tuberk Spezif Tuberkuloseforsch|Beitrage zur Klinik der Tuberkulose und spezifischen Tuberkulose-Forschung|0071320|||1903|1964|0|
J Belge Rhumatol Med Phys|Journal belge de rhumatologie et de medecine physique = Belgisch tijdschrift voor reumatologie en fysische geneeskunde|0071414|0021-7654||1964|1976|0|
J Belge Med Phys Rhumatol|Journal belge de medecine physique et de rhumatologie. Belgisch tijdschrift voor fysische geneeskunde en reumatologie|0071431|0368-1459||1956|1964|0|
Br Chirop J|The British chiropody journal|0071432|||1933|1965|0|
Dapim Refuiim|Dapim refuiim. Folia medica|0071461|0366-9637||1935|1969|0|
Fysiatr Vestn Cesk Fysiatr Spol|Fysiatricky vestnik. Ceskoslovenska fysiatricka spolecnost v Praze|0071530|0016-3368||1953|1965|0|
Endocrinol Sci Cost|Endocrinologia e scienza della costituzione|0071535|0013-7197||1942|1973|0|
Rev Serv Nac Salud|Revista. Chile. Servicio Nacional de Salud|0071543|||1956|1960|0|
Expos Annu Biochim Med|Exposes annuels de biochimie medicale|0071567|0300-9076||1938|1982|0|
Proc Chem Soc|Proceedings. Chemical Society (Great Britain)|0071570|||1885|1964|0|
Manuf Chem Aerosol News|Manufacturing chemist and aerosol news|0071761|0025-2557||1964|1981|0|
Spitalul|Spitalul|0072026|0038-7673||1881|1973|0|
Jie Fang Jun Yi Xue Za Zhi|Jie fang jun yi xue za zhi|0072322|0577-7402||1964|uuuu|0|
